Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
CSBBANK,CSB Bank Limited,425213.761977
KTKBANK,The Karnataka Bank Limited,423778.10536800005
MMTC,MMTC Limited,418500
ENGINERSIN,Engineers India Limited,418440.5466985
SUNTECK,Sunteck Realty Limited,417024.910146
PRIVISCL,Privi Speciality Chemicals Limited,410783.416296
PARADEEP,Paradeep Phosphates Limited,410506.799976
SOBHA,Sobha Limited,408406.24301800004
FUSION,Fusion Micro Finance Limited,403277.6705125
GMDCLTD,Gujarat Mineral Development Corporation Limited,402588
VIJAYA,Vijaya Diagnostic Centre Limited,399404.507775
JAMNAAUTO,Jamna Auto Industries Limited,397227.7049025
ANANTRAJ,Anant Raj Limited,395883.6732025
SANSERA,Sansera Engineering Limited,395621.84673
MFL,Meghmani Finechem Limited,392088.065967
AHLUCONT,Ahluwalia Contracts (India) Limited,386283.76474
BSHSL,Bombay Super Hybrid Seeds Limited,385854.37856
TATACOFFEE,Tata Coffee Limited,384466.806645
TEAMLEASE,Teamlease Services Limited,382873.5933705
JKTYRE,JK Tyre & Industries Limited,381657.864
VARROC,Varroc Engineering Limited,380972.8884
GREENLAM,Greenlam Industries Limited,380914.153725
JPPOWER,Jaiprakash Power Ventures Limited,380366.9648985
INFIBEAM,Infibeam Avenues Limited,378906.037253
SPANDANA,Spandana Sphoorty Financial Limited,378234.3488665
HSCL,Himadri Speciality Chemical Limited,377753.383854
BHARATRAS,Bharat Rasayan Limited,377171.598726
RAJRATAN,Rajratan Global Wire Limited,377152.3735
LAOPALA,La Opala RG Limited,376845
SARDAEN,Sarda Energy & Minerals Limited,376184.62478849996
RALLIS,Rallis India Limited,375130.48881
BOROLTD,Borosil Limited,374275.55510550004
RATEGAIN,Rategain Travel Technologies Limited,372286.18890400004
SCHNEIDER,Schneider Electric Infrastructure Limited,372284.982495
RPOWER,Reliance Power Limited,371652.99361699994
ARVINDFASN,Arvind Fashions Limited,371444.013811
TATVA,Tatva Chintan Pharma Chem Limited,369945.967311
POWERMECH,Power Mech Projects Limited,368172.11154300004
HCG,Healthcare Global Enterprises Limited,365110.104719
NESCO,Nesco Limited,364771.21292
HEIDELBERG,HeidelbergCement India Limited,364733.81020199996
TECHNOE,Techno Electric & Engineering Company Limited,363321.808144
POLYPLEX,Polyplex Corporation Limited,358674.57458099996
SURYAROSNI,Surya Roshni Limited,357956.639946
AUTOAXLES,Automotive Axles Limited,357284.8689375
JWL,Jupiter Wagons Limited,357226.52031800005
NFL,National Fertilizers Limited,355424.0508
HEG,HEG Limited,355348.823742
RAJRILTD,Raj Rayon Industries Limited,355336.714305
CHENNPETRO,Chennai Petroleum Corporation Limited,353664.575
WSTCSTPAPR,West Coast Paper Mills Limited,350455.50584800006
LUXIND,Lux Industries Limited,349177.3239315
HIKAL,Hikal Limited,347276.562375
MIDHANI,Mishra Dhatu Nigam Limited,345923.31
HLEGLAS,HLE Glascoat Limited,344604.14304
SHAREINDIA,Share India Securities Limited,344502.13356
NOCIL,NOCIL Limited,344367.4598575
NAZARA,Nazara Technologies Limited,341756.098134
BANARISUG,Bannari Amman Sugars Limited,339963.8067
ANANDRATHI,Anand Rathi Wealth Limited,336715.971019
PRUDENT,Prudent Corporate Advisory Services Limited,334814.41448
GRAVITA,Gravita India Limited,334592.25020099996
GREENPANEL,Greenpanel Industries Limited,333607.8280975
VESUVIUS,Vesuvius India Limited,332348.31
DCBBANK,DCB Bank Limited,331732.305645
ROSSARI,Rossari Biotech Limited,328781.85204599996
RESPONIND,Responsive Industries Limited,328702.99005
TINPLATE,The Tinplate Company of India Limited,326301.361465
KIRLOSBROS,Kirloskar Brothers Limited,325775.118915
RAILTEL,Railtel Corporation Of India Limited,324468.729477
AMIORG,Ami Organics Limited,324180.540614
ISGEC,Isgec Heavy Engineering Limited,320809.25213
NEOGEN,Neogen Chemicals Limited,320769.48239200003
MARKSANS,Marksans Pharma Limited,319115.060352
NAVA,NAVA LIMITED,316391.94115900004
NEWGEN,Newgen Software Technologies Limited,315290.344407
BECTORFOOD,Mrs. Bectors Food Specialities Limited,314055.902423
TWL,Titagarh Wagons Limited,313754.53753599996
AARTIDRUGS,Aarti Drugs Limited,312756.5
UJJIVAN,Ujjivan Financial Services Limited,311800.115875
GATEWAY,Gateway Distriparks Limited,311777.753664
SULA,Sula Vineyards Limited,308714.709542
DAAWAT,LT Foods Limited,308650.2127
SOUTHBANK,The South Indian Bank Limited,306586.559137
GET&D,GE T&D India Limited,305335.4929875
HARSHA,Harsha Engineers International Limited,305043.2738025
PGEL,PG Electroplast Limited,303011.2575995
RSYSTEMS,R Systems International Limited,301200.57097
INDOCO,Indoco Remedies Limited,299719.0296375
MOLDTKPAC,Mold-Tek Packaging Limited,299062.80985049997
IFBIND,IFB Industries Limited,298826.1205
SBCL,Shivalik Bimetal Controls Limited,295768.7649
BCG,Brightcom Group Limited,294616.593458
GREAVESCOT,Greaves Cotton Limited,291993.0439135
MOIL,MOIL Limited,289355.970042
TATASTLLP,Tata Steel Long Products Limited,284242.75
TARSONS,Tarsons Products Limited,283137.2243415
SHANTIGEAR,Shanthi Gears Limited,281585.5384365
CHOICEIN,Choice International Limited,280922.376
TIIL,Technocraft Industries (India) Limited,278950.0545195
DHANUKA,Dhanuka Agritech Limited,278665.872936
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,276408.931302
DODLA,Dodla Dairy Limited,275897.5585625
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,273534.3744885
VOLTAMP,Voltamp Transformers Limited,272398.39744
ASTEC,Astec LifeSciences Limited,271538.391
SUDARSCHEM,Sudarshan Chemical Industries Limited,270886.22925
KSCL,Kaveri Seed Company Limited,267278.3817055
SUNFLAG,Sunflag Iron And Steel Company Limited,265733.576076
IBREALEST,Indiabulls Real Estate Limited,264879.236859
THOMASCOOK,Thomas Cook  (India)  Limited,264118.685563
HBLPOWER,HBL Power Systems Limited,264028.186065
INOXWIND,Inox Wind Limited,263970.804161
NILKAMAL,Nilkamal Limited,262047.0002625
ZENTEC,Zen Technologies Limited,260912.065
TCNSBRANDS,TCNS Clothing Co. Limited,259794.918612
ADVENZYMES,Advanced Enzyme Technologies Limited,259431.854
STAR,Strides Pharma Science Limited,258581.792904
FCL,Fineotex Chemical Limited,258154.56702
KKCL,Kewal Kiran Clothing Limited,257531.648115
HINDWAREAP,Hindware Home Innovation Limited,256905.2396325
MAHLOG,Mahindra Logistics Limited,255014.61729
EMIL,Electronics Mart India Limited,254896.054825
JTEKTINDIA,Jtekt India Limited,253648.4865875
MANINFRA,Man Infraconstruction Limited,253192.77621
ITDC,India Tourism Development Corporation Limited,253191.2688
APCOTEXIND,Apcotex Industries Limited,252770.10248
PRICOLLTD,Pricol Limited,252599.404605
PTC,PTC India Limited,251755.07701049998
AARTIPHARM,Aarti Pharmalabs Limited,249991.843068
MBAPL,Madhya Bharat Agro Products Limited,249013.856745
SAGCEM,Sagar Cements Limited,248017.57233
TDPOWERSYS,TD Power Systems Limited,247795.70438
JAICORPLTD,Jai Corp Limited,247241.657555
DBL,Dilip Buildcon Limited,246957.086019
BARBEQUE,Barbeque Nation Hospitality Limited,246791.74593150002
UNIPARTS,Uniparts India Limited,243428.923773
UFLEX,UFLEX Limited,242305.641273
WONDERLA,Wonderla Holidays Limited,242214.6326775
PSPPROJECT,PSP Projects Limited,241524
KIRLOSIND,Kirloskar Industries Limited,240366.5641
IPL,India Pesticides Limited,239367.351378
DISHTV,Dish TV India Limited,239363.28702
TATAMETALI,Tata Metaliks Limited,236799.6725
PAISALO,Paisalo Digital Limited,236634.58873
PFOCUS,Prime Focus Limited,236484.18043799998
HEMIPROP,Hemisphere Properties India Limited,234697.5
LGBBROSLTD,LG Balakrishnan & Bros Limited,233025.903968
MAITHANALL,Maithan Alloys Limited,232892.4
SSWL,Steel Strips Wheels Limited,231561.2794
NEULANDLAB,Neuland Laboratories Limited,231457.6125045
HATHWAY,Hathway Cable & Datacom Limited,229228.53275
THYROCARE,Thyrocare Technologies Limited,227519.78983549998
ORIENTCEM,Orient Cement Limited,225253.20162
DREAMFOLKS,Dreamfolks Services Limited,224910.125
ETHOSLTD,Ethos Limited,224129.28756700002
GLOBUSSPR,Globus Spirits Limited,223682.14873400002
GANESHHOUC,Ganesh Housing Corporation Limited,223602.481835
ARVIND,Arvind Limited,222272.8529
ICIL,Indo Count Industries Limited,221919.88797
SHRIPISTON,Shriram Pistons & Rings Limited,221801.87629599997
WOCKPHARMA,Wockhardt Limited,221751.92909700001
DBREALTY,D B Realty Limited,221463.83439
ISMTLTD,ISMT Limited,220718.26581349998
JINDALPOLY,Jindal Poly Films Limited,219304.2495105
WABAG,VA Tech Wabag Limited,218848.116132
BAJAJCON,Bajaj Consumer Care Limited,218592.847917
GENUSPOWER,Genus Power Infrastructures Limited,218183.35462
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,216583.9410385
NAVNETEDUL,Navneet Education Limited,215694.26808349998
GOKEX,Gokaldas Exports Limited,215657.65864
APOLLOPIPE,Apollo Pipes Limited,215479.24067400003
LANDMARK,Landmark Cars Limited,215360.49451
IFCI,IFCI Limited,215200.95448599997
ATFL,Agro Tech Foods Limited,213633.15285599997
EVEREADY,Eveready Industries India Limited,212355.83009
AGI,AGI Greenpac Limited,209490.119678
TI,Tilaknagar Industries Limited,208878.178873
ASHOKA,Ashoka Buildcon Limited,207735.18058
SOMANYCERA,Somany Ceramics Limited,207635.165808
HCC,Hindustan Construction Company Limited,207284.869428
JISLJALEQS,Jain Irrigation Systems Limited,207090.80427
VINDHYATEL,Vindhya Telelinks Limited,206957.5460005
FIEMIND,Fiem Industries Limited,206056.61814
TASTYBITE,Tasty Bite Eatables Limited,205853.501
JAYNECOIND,Jayaswal Neco Industries Limited,205366.12860599998
HONDAPOWER,Honda India Power Products Limited,204301.73608200002
UNICHEMLAB,Unichem Laboratories Limited,203965.45775
MUKANDLTD,Mukand Limited,203810.9916115
CIGNITITEC,Cigniti Technologies Limited,203336.91414
MMFL,MM Forgings Limited,202577.5232
VENKEYS,Venky's (India) Limited,202547.70263
RAMKY,Ramky Infrastructure Limited,201815.35745150002
DIVGIITTS,Divgi Torqtransfer Systems Limited,201373.28283150002
CAMLINFINE,Camlin Fine Sciences Limited,200215.66065200002
SHILPAMED,Shilpa Medicare Limited,198646.14357299998
GULFOILLUB,Gulf Oil Lubricants India Limited,198249.604327
MOL,Meghmani Organics Limited,197602.141947
DOLLAR,Dollar Industries Limited,197258.66536
VSTTILLERS,V.S.T Tillers Tractors Limited,196493.105068
SUBROS,Subros Limited,195739.867875
DCAL,Dishman Carbogen Amcis Limited,195586.9110125
GABRIEL,Gabriel India Limited,195427.58037
MAXVIL,Max Ventures and Industries Limited,195206.51170200002
SIYSIL,Siyaram Silk Mills Limited,195073.27296
TVSSRICHAK,TVS Srichakra Limited,194875.751025
ASTRAMICRO,Astra Microwave Products Limited,194616.433725
JKIL,J.Kumar Infraprojects Limited,192493.04726400002
JAGRAN,Jagran Prakashan Limited,191281.174336
ELECTCAST,Electrosteel Castings Limited,190868.28428700002
CARERATING,CARE Ratings Limited,190787.417468
INDIAGLYCO,India Glycols Limited,190289.379
BALMLAWRIE,Balmer Lawrie & Company Limited,189643.265214
KOLTEPATIL,Kolte - Patil Developers Limited,189440.9894325
IMAGICAA,Imagicaaworld Entertainment Limited,188482.83718200002
WELENT,Welspun Enterprises Limited,188303.726808
TIPSINDLTD,TIPS Industries Limited,187547.7707065
SWARAJENG,Swaraj Engines Limited,186980.303862
MAYURUNIQ,Mayur Uniquoters Ltd,184622.8963
GANECOS,Ganesha Ecosphere Limited,184316.5135695
PARAS,Paras Defence and Space Technologies Limited,183436.7869135
LUMAXTECH,Lumax Auto Technologies Limited,183276.068745
ACCELYA,Accelya Solutions India Limited,182055.605417
KESORAMIND,Kesoram Industries Limited,182023.089116
CARTRADE,Cartrade Tech Limited,181964.4857355
MPSLTD,MPS Limited,181646.660104
SEQUENT,Sequent Scientific Limited,181088.71737
HIL,HIL Limited,180964.9337545
GUFICBIO,Gufic Biosciences Limited,180704.559184
ITDCEM,ITD Cementation India Limited,179260.343904
PILANIINVS,Pilani Investment and Industries Corporation Limited,179226.51075
MSTCLTD,Mstc Limited,178041.6
LSIL,Lloyds Steels Industries Limited,177404.08207150002
PANAMAPET,Panama Petrochem Limited,176762.29335599998
OPTIEMUS,Optiemus Infracom Limited,176694.099078
SIRCA,Sirca Paints India Limited,176635.0602
TIRUMALCHM,Thirumalai Chemicals Limited,175902.79016
DYNAMATECH,Dynamatic Technologies Limited,175176.021432
SUNDARMHLD,Sundaram Finance Holdings Limited,175128.89361
TIMETECHNO,Time Technoplast Limited,174132.9975
DBCORP,D.B.Corp Limited,173579.3179345
ASHIANA,Ashiana Housing Limited,173077.399409
CONFIPET,Confidence Petroleum India Limited,172963.261107
DIAMONDYD,Prataap Snacks Limited,172743.336658
NUCLEUS,Nucleus Software Exports Limited,171161.860332
GREENPLY,Greenply Industries Limited,170736.7508525
JPASSOCIAT,Jaiprakash Associates Limited,170594.39698
WENDT,Wendt (India) Limited,170174
FINOPB,Fino Payments Bank Limited,169965.211835
FMGOETZE,Federal-Mogul Goetze (India) Limited.,169956.15715
SANGHIIND,Sanghi Industries Limited,169849.345
VAKRANGEE,Vakrangee Limited,169519.9664
GNA,GNA Axles Limited,169093.6885
AMRUTANJAN,Amrutanjan Health Care Limited,168368.4288
EMUDHRA,eMudhra Limited,167738.48909350001
DATAMATICS,Datamatics Global Services Limited,167534.015754
SHARDAMOTR,Sharda Motor Industries Limited,166853.90756
IOLCP,IOL Chemicals and Pharmaceuticals Limited,166048.512407
LUMAXIND,Lumax Industries Limited,165384.74841
BAJAJHIND,Bajaj Hindusthan Sugar Limited,164779.432518
STYLAMIND,Stylam Industries Limited,164608.03275
ANDHRAPAP,ANDHRA PAPER LIMITED,164588.30640149998
SOTL,Savita Oil Technologies Limited,163802.5337575
ADFFOODS,ADF Foods Limited,163433.08392200002
VIDHIING,Vidhi Specialty Food Ingredients Limited,162820.7
KABRAEXTRU,Kabra Extrusion Technik Limited,162664.930805
BEPL,Bhansali Engineering Polymers Limited,162587.5272
RUPA,Rupa & Company Limited,162428.9138
NACLIND,NACL Industries Limited,162117.452975
VSSL,Vardhman Special Steels Limited,161372.08840799998
VISHNU,Vishnu Chemicals Limited,161331.0001
DWARKESH,Dwarikesh Sugar Industries Limited,160715.304645
DHANI,Dhani Services Limited,160158.4515045
BANCOINDIA,Banco Products (I) Limited,160094.498025
KINGFA,Kingfa Science & Technology (India) Limited,159621.93121049998
SUBEXLTD,Subex Limited,159608.83354
HINDOILEXP,Hindustan Oil Exploration Company Limited,159017.7486
RTNPOWER,RattanIndia Power Limited,158418.12287
VADILALIND,Vadilal Industries Limited,157855.528545
BBOX,Black Box Limited,156738.953435
ORCHPHARMA,Orchid Pharma Limited,156428.853
PURVA,Puravankara Limited,154977.319801
COSMOFIRST,COSMO FIRST LIMITED,154164.646671
IMFA,Indian Metals & Ferro Alloys Limited,153742.225047
SUPRIYA,Supriya Lifescience Limited,153520.941
SAKSOFT,Saksoft Limited,152986.275
IIFLSEC,IIFL Securities Limited,152842.641952
SANGHVIMOV,Sanghvi Movers Limited,152438.692
GOKULAGRO,Gokul Agro Resources Limited,151674.572024
ALEMBICLTD,Alembic Limited,151629.669434
VENUSPIPES,Venus Pipes & Tubes Limited,151408.9806
SEAMECLTD,Seamec Limited,151291.4625
TNPL,Tamil Nadu Newsprint & Papers Limited,151086.7398
KPIGREEN,KPI Green Energy Limited,150895.584
BFINVEST,BF Investment Limited,150237.334278
SESHAPAPER,Seshasayee Paper and Boards Limited,148651.60598
DHAMPURSUG,Dhampur Sugar Mills Limited,148409.457445
ANDHRSUGAR,The Andhra Sugars Limited,147055.89815
KIRIINDUS,Kiri Industries Limited,146716.7342355
TTKHLTCARE,TTK Healthcare Limited,146672.85654
CARYSIL,CARYSIL LIMITED,146040.938155
GOCLCORP,GOCL Corporation Limited,146040.55554
JSWISPL,JSW Ispat Special Products Limited,146029.283074
STERTOOLS,Sterling Tools Limited,145015.4613805
SHALBY,Shalby Limited,144949.11134
TIDEWATER,Tide Water Oil Company (India) Limited,144601.776
KRSNAA,Krsnaa Diagnostics Limited,144491.815026
KRISHANA,Krishana Phoschem Limited,144118.665
HUHTAMAKI,Huhtamaki India Limited,143114.06493
BBL,Bharat Bijlee Limited,143105.97654
SEPC,SEPC Limited,142625.39595200002
ORISSAMINE,The Orissa Minerals Development Company Limited,142155
FILATEX,Filatex India Limited,141985.105625
THEJO,Thejo Engineering Limited,141953.558349
APTECHT,Aptech Limited,141272.6883375
ORIENTHOT,Oriental Hotels Limited,140736.15384
DCXINDIA,DCX Systems Limited,140684.5794695
FOSECOIND,Foseco India Limited,140444.619869
GOLDIAM,Goldiam International Limited,140032.380275
SHANKARA,Shankara Building Products Limited,139974.97107600002
INSECTICID,Insecticides (India) Limited,138207.0998715
THANGAMAYL,Thangamayil Jewellery Limited,137895.518682
SHK,S H Kelkar and Company Limited,137728.696995
TEXRAIL,Texmaco Rail & Engineering Limited,136633.7704275
CANTABIL,Cantabil Retail India Limited,135674.258676
GALLANTT,Gallantt Ispat Limited,134272.8458925
HERITGFOOD,Heritage Foods Limited,133765.434
KCP,KCP Limited,133433.4006
MOREPENLAB,Morepen Laboratories Limited,131881.526664
GATI,GATI Limited,130780.767585
RAMASTEEL,Rama Steel Tubes Limited,129731.6567625
HESTERBIO,Hester Biosciences Limited,129542.54022
NRBBEARING,NRB Bearing Limited,129488.5936
INDOSTAR,IndoStar Capital Finance Limited,129032.74732450001
MONTECARLO,Monte Carlo Fashions Limited,128901.60792
KSL,Kalyani Steels Limited,128689.22088
KDDL,KDDL Limited,128568.134835
TCPLPACK,TCPL Packaging Limited,128200.8
MARATHON,Marathon Nextgen Realty Limited,128016.61718799999
ARVSMART,Arvind SmartSpaces Limited,128006.340675
DCW,DCW Limited,127949.69986950001
DEN,Den Networks Limited,127895.99046
STEELXIND,STEEL EXCHANGE INDIA LIMITED,127414.58895
EIHAHOTELS,EIH Associated Hotels Limited,127143.577431
IGPL,IG Petrochemicals Limited,127074.948525
NITINSPIN,Nitin Spinners Limited,126635.55
EXPLEOSOL,Expleo Solutions Limited,125987.6619225
VERANDA,Veranda Learning Solutions Limited,125853.27224399999
SALASAR,Salasar Techno Engineering Limited,125808.55408
STYRENIX,Styrenix Performance Materials Limited,125789.975625
ADORWELD,Ador Welding Limited,125187.487202
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,124657.68634
PCJEWELLER,PC Jeweller Limited,124495.54218
GENESYS,Genesys International Corporation Limited,124045.916274
STOVEKRAFT,Stove Kraft Limited,123844.48125
RANEHOLDIN,Rane Holdings Limited,123638.6870355
NDTV,New Delhi Television Limited,123591.41883899999
XPROINDIA,Xpro India Limited,122623.99852
MANORAMA,Manorama Industries Limited,122440.28832
GRWRHITECH,Garware Hi-Tech Films Limited,122260.473425
HARIOMPIPE,Hariom Pipe Industries Limited,121941.850446
SANDHAR,Sandhar Technologies Limited,121494.94409799999
AVTNPL,AVT Natural Products Limited,120913.496
IWEL,Inox Wind Energy Limited,120741.6275
SJS,S.J.S. Enterprises Limited,120549.318792
EVERESTIND,Everest Industries Limited,118937.682937
FAIRCHEMOR,Fairchem Organics Limited,118900.36661299999
SASKEN,Sasken Technologies Limited,118390.15128600001
OAL,Oriental Aromatics Limited,118241.839276
NELCO,NELCO Limited,118073.8108
RIIL,Reliance Industrial Infrastructure Limited,118059.35
SOLARA,Solara Active Pharma Sciences Limited,117869.77629149999
TAJGVK,Taj GVK Hotels & Resorts Limited,117722.0568625
BOMDYEING,Bombay Dyeing & Mfg Company Limited,117208.55575
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,116026.33185
GOODLUCK,Goodluck India Limited,115907.203125
RPGLIFE,RPG Life Sciences Limited,115847.5305675
PATELENG,Patel Engineering Limited,115655.775586
SPIC,Southern Petrochemicals Industries Corporation  Limited,114954.969672
INOXGREEN,Inox Green Energy Services Limited,114878.127929
GIPCL,Gujarat Industries Power Company Limited,114799.65169200001
UNIVCABLES,Universal Cables Limited,114715.523208
NSIL,Nalwa Sons Investments Limited,114505.617922
HMT,HMT Limited,113765.48982
MATRIMONY,Matrimony.Com Limited,113725.40571
MTNL,Mahanagar Telephone Nigam Limited,113715
SDBL,Som Distilleries & Breweries Limited,113523.67784700001
VALIANTORG,Valiant Organics Limited,113189.314728
ARMANFIN,Arman Financial Services Limited,112901.33436299999
REPCOHOME,Repco Home Finance Limited,112454.048195
HERANBA,Heranba Industries Limited,111997.694133
BFUTILITIE,BF Utilities Limited,111929.35660200001
PRECWIRE,Precision Wires India Limited,111097.5079725
AXITA,Axita Cotton Limited,110958.12
GRMOVER,GRM Overseas Limited,110070
GTPL,GTPL Hathway Limited,109820.15660700001
IGARASHI,Igarashi Motors India Limited,109564.642088
INFOBEAN,InfoBeans Technologies Limited,109116.429605
ALICON,Alicon Castalloy Limited,109044.93312
THEMISMED,Themis Medicare Limited,108578.881845
TVTODAY,TV Today Network Limited,108000.19315
WHEELS,Wheels India Limited,107965.639467
RPSGVENT,RPSG VENTURES LIMITED,107687.131441
RAMCOIND,Ramco Industries Limited,107686.63893
SMLISUZU,SML Isuzu Limited,107451.97155
AHL,Abans Holdings Limited,107036.530275
UNIENTER,Uniphos Enterprises Limited,106196.51142299999
SATIN,Satin Creditcare Network Limited,105985.9231875
KUANTUM,Kuantum Papers Limited,105894.415005
GANESHBE,Ganesh Benzoplast Limited,105859.499704
SUVEN,Suven Life Sciences Limited,105765.752745
SATIA,Satia Industries Limited,105500
GULPOLY,Gulshan Polyols Limited,105146.41424700001
UGARSUGAR,The Ugar Sugar Works Limited,104287.5
MANALIPETC,Manali Petrochemicals Limited,103715.53508700001
PIXTRANS,Pix Transmissions Limited,103626.4586
SHRIRAMPPS,Shriram Properties Limited,103423.147548
RADIANTCMS,Radiant Cash Management Services Limited,103079.83719600001
PNBGILTS,PNB Gilts Limited,102965.79664799999
INDORAMA,Indo Rama Synthetics (India) Limited,102617.46834299999
ASHAPURMIN,Ashapura Minechem Limited,102555.915858
UGROCAP,Ugro Capital Limited,102346.29220950001
AXISCADES,AXISCADES Technologies Limited,102183.15425
HITECH,Hi-Tech Pipes Limited,102057.0835
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,101506.36743
SURYODAY,Suryoday Small Finance Bank Limited,101116.2084225
EKC,Everest Kanto Cylinder Limited,101099.121482
JASH,Jash Engineering Limited,100997.512389
DPSCLTD,DPSC Limited,100787.22774
TARC,TARC Limited,100627.850235
BHARATWIRE,Bharat Wire Ropes Limited,99993.92905600001
EXCELINDUS,Excel Industries Limited,99943.286746
SPECIALITY,Speciality Restaurants Limited,99761.5422965
ANUP,The Anup Engineering Limited,99129.73455
SKIPPER,Skipper Limited,98768.743944
AJMERA,Ajmera Realty & Infra India Limited,98257.618875
SHALPAINTS,Shalimar Paints Limited,98251.12782299999
GMBREW,GM Breweries Limited,97702.5847245
SANGAMIND,Sangam (India) Limited,96872.62512950001
SHIVALIK,Shivalik Rasayan Limited,96795.301015
GMRP&UI,GMR Power and Urban Infra Limited,96273.327216
PENIND,Pennar Industries Limited,95474.4584325
GEOJITFSL,Geojit Financial Services Limited,95397.98809799999
BCLIND,Bcl Industries Limited,95078.55
DBOL,Dhampur Bio Organics Limited,95033.835085
SHAILY,Shaily Engineering Plastics Limited,94340.294568
LIKHITHA,Likhitha Infrastructure Limited,92904.75
MADRASFERT,Madras Fertilizers Limited,92552.69685
STEELCAS,Steelcast Limited,92375.36
MKPL,M K Proteins Limited,91340.52
ROSSELLIND,Rossell India Limited,91319.7106875
KITEX,Kitex Garments Limited,91204.75
PRAKASH,Prakash Industries Limited,91152.656051
ARTEMISMED,Artemis Medicare Services Limited,91066.63125
RICOAUTO,Rico Auto Industries Limited,90979.1625
OMAXE,Omaxe Limited,90901.56838
CENTUM,Centum Electronics Limited,90869.9180025
ROTO,Roto Pumps Limited,90799.40051
PRECAM,Precision Camshafts Limited,90426.51492
BIGBLOC,Bigbloc Construction Limited,90396.116375
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,89444.91124799999
CLSEL,Chaman Lal Setia Exports Limited,88826.50535
GTLINFRA,GTL Infrastructure Limited,88697.71922200001
PGIL,Pearl Global Industries Limited,88648.830204
UTTAMSUGAR,Uttam Sugar Mills Limited,88213.47156
AVADHSUGAR,Avadh Sugar & Energy Limited,87310.33883
PITTIENG,Pitti Engineering Limited,86839.6565365
5PAISA,5Paisa Capital Limited,86698.65744
NAHARSPING,Nahar Spinning Mills Limited,86664.923109
SPCENET,Spacenet Enterprises India Limited,86187.765401
SPORTKING,Sportking India Limited,85928.3224
DEEPINDS,Deep Industries Limited,85920
PARAGMILK,Parag Milk Foods Limited,85390.9243275
AGARIND,Agarwal Industrial Corporation Limited,85192.0872495
CONTROLPR,Control Print Limited,85071.887808
BAJAJHCARE,Bajaj Healthcare Limited,84685.6904
KAMDHENU,Kamdhenu Limited,84348.51825
CHEMCON,Chemcon Speciality Chemicals Limited,83811.043888
GICHSGFIN,GIC Housing Finance Limited,83388.375701
MEDICAMEQ,Medicamen Biotech Limited,83358.0979
DLINKINDIA,D-Link (India) Limited,82815.062625
ARIHANTSUP,Arihant Superstructures Limited,81537.942171
VHL,Vardhman Holdings Limited,81521.40384
PFS,PTC India Financial Services Limited,81248.8418775
HEXATRADEX,Hexa Tradex Limited,81126.847824
RILINFRA,Rachana Infrastructure Limited,80820.12
CAPACITE,Capacit'e Infraprojects Limited,80756.93568149999
SPAL,S. P. Apparels Limited,80747.9868
NCLIND,NCL Industries Limited,80672.680965
63MOONS,63 moons technologies limited,80522.2434075
NAVKARCORP,Navkar Corporation Limited,79624.64674899999
ORIENTPPR,Orient Paper & Industries Limited,79357.497428
DREDGECORP,Dredging Corporation of India Limited,79240
AMBIKCO,Ambika Cotton Mills Limited,78964.925
CENTRUM,Centrum Capital Limited,78630.18786
LINC,Linc Limited,78592.6217895
RGL,Renaissance Global Limited,78255.2788
SCHAND,S Chand And Company Limited,78187.691264
NELCAST,Nelcast Limited,77257.0656
FAZE3Q,Faze Three Limited,76933.1565
KICL,Kalyani Investment Company Limited,76471.430508
DVL,Dhunseri Ventures Limited,76371.47609699999
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,75921.804
POKARNA,Pokarna Limited,75820.282
IFGLEXPOR,IFGL Refractories Limited,75484.338984
TRIL,Transformers And Rectifiers (India) Limited,75428.97859
CENTENKA,Century Enka Limited,75209.727338
SMCGLOBAL,SMC Global Securities Limited,74912.85
ROHLTD,Royal Orchid Hotels Limited,74761.13609
INDNIPPON,India Nippon Electricals Limited,74741.184896
SHAKTIPUMP,Shakti Pumps (India) Limited,74329.350864
NGLFINE,NGL Fine-Chem Limited,74241.314408
IMPAL,India Motor Parts and Accessories Limited,74156.16
BLISSGVS,Bliss GVS Pharma Limited,74104.626128
ALLSEC,Allsec Technologies Limited,74065.883523
ORIENTBELL,Orient Bell Limited,73159.7338
MANGLMCEM,Mangalam Cement Limited,72977.828892
SANDESH,The Sandesh Limited,72764.844073
BODALCHEM,Bodal Chemicals Limited,72484.739305
ESTER,Ester Industries Limited,72469.176571
ZOTA,Zota Health Care LImited,70889.2213225
RSWM,RSWM Limited,70793.831052
INDRAMEDCO,Indraprastha Medical Corporation Limited,70634.0465
QUICKHEAL,Quick Heal Technologies Limited,70561.6849045
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,70375.7661
AURIONPRO,Aurionpro Solutions Limited,70235.9082825
GSLSU,Global Surfaces Limited,70205.481517
